product,category,positive_reviews,avg_rating,total_reviews
"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,_x000D_
XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"",","XYZ brand Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",0,3.0,1
"retail brand brand name Lighted Leather Cover,,,_x000D_
retail brand brand name Lighted Leather Cover,,,","Electronics,eBook Readers & Accessories,Covers,brand name Store,Target Device Accessories,brand name E-Reader Accessories,brand name (5th Generation) Accessories,brand name (5th Generation) Covers",1,3.0,1
"Standing Protective Case for XYZ brand HD 6 (4th Generation) - Black,,,
Standing Protective Case for XYZ brand HD 6 (4th Generation) - Black,,,","XYZ brand Tablets,Tablets,Computers & Tablets,All Tablets,Electronics, Tech Toys, Movies, Music,Electronics,iPad & Tablets,Android Tablets,Frys",1,4.0,1
"electonics brand Home_x000D_
XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Tangerine""","Stereos,Remote Controls,Target Echo,Audio Docks & Mini Speakers,Target Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,brand name Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Target Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Target Devices,Audio,Holiday Shop",1,4.0,1
"retail brand - XYZ brand 16GB (5th Gen, 2015 Release) - Black,,,
retail brand - XYZ brand 16GB (5th Gen, 2015 Release) - Black,,,","Walmart for Business,Office Electronics,Tablets,Electronics,iPad & Tablets,All Tablets,Computers & Tablets,E-Readers & Accessories,brand name E-readers,Electronics Features,eBook Readers,See more retail brand brand name Voyage (Wi-Fi),See more retail brand brand name Voyage 4GB, Wi-Fi  3G (Unlocked...",1,4.0,1
"retail brand Echo and XYZ brand TV Power Adapter,,,
retail brand Echo and XYZ brand TV Power Adapter,,,","Walmart for Business,Office Electronics,Tablets,Electronics,iPad & Tablets,All Tablets,Computers & Tablets,E-Readers & Accessories,brand name E-readers,Electronics Features,eBook Readers,See more retail brand brand name Voyage (Wi-Fi),See more retail brand brand name Voyage 4GB, Wi-Fi  3G (Unlocked...",1,4.0,1
"retail brand brand name Lighted Leather Cover,,,
retail brand brand name Lighted Leather Cover,,,","Electronics,eBook Readers & Accessories,Covers,brand name Store,Target Device Accessories,brand name E-Reader Accessories,brand name (5th Generation) Accessories,brand name (5th Generation) Covers",1,4.0,1
"retail brand brand name Lighted Leather Cover,,,_x000D_
brand name Keyboard,,,","Electronics,eBook Readers & Accessories,Covers,brand name Store,Target Device Accessories,brand name E-Reader Accessories,brand name (5th Generation) Accessories,brand name (5th Generation) Covers",1,4.0,1
"retail brand brand name XYZ brand Hd (3rd Generation) 8gb,,,_x000D_
retail brand brand name XYZ brand Hd (3rd Generation) 8gb,,,","Target Devices & Accessories,Target Device Accessories,Power Adapters & Cables,brand name Store,brand name E-Reader Accessories,brand name Paperwhite Accessories",1,4.0,1
"9W PowerFast Official OEM USB Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,
9W PowerFast Official OEM USB Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,","Stereos,Remote Controls,retail brand Echo,Audio Docks & Mini Speakers,retail brand Echo Accessories,Kitchen & Dining Features,Speaker Systems,Electronics,TVs Entertainment,Clearance,Smart Hubs & Wireless Routers,Featured Brands,Wireless Speakers,Smart Home & Connected Living,Home Security,brand name Store,Home Automation,Home, Garage & Office,Home,Voice-Enabled Smart Assistants,Virtual Assistant Speakers,Portable Audio & Headphones,Electronics Features,Target Device Accessories,iPod, Audio Player Accessories,Home & Furniture Clearance,Consumer Electronics,Smart Home,Surveillance,Home Improvement,Smart Home & Home Automation Devices,Smart Hubs,Home Safety & Security,Voice Assistants,Alarms & Sensors,Target Devices,Audio,Holiday Shop",1,5.0,1
